농장번호,지역,상품
1,대구,"사과, 복숭아"
2,대구,인삼
3,대구,"단감, 복숭아, 포도"
4,대구,사과
5,대구,"사과, 포도"
6,강릉,"복숭아, 포도"
7,강릉,복숭아
8,제주,수박
9,제주,수박
10,제주,귤
11,제주,인삼
12,제주,수박
13,대구,포도
14,대구,"사과, 복숭아, 포도"
15,대구,"사과, 포도"
16,대구,포도
17,강릉,단감
18,강릉,"복숭아, 인삼, 포도"
19,강릉,"복숭아, 홍삼"
20,제주,"수박, 홍삼"
21,제주,수박
22,대구,포도
23,대구,포도
24,대구,"사과, 인삼"
25,대구,포도
26,대구,사과
27,강릉,"단감, 포도"
28,강릉,단감
29,강릉,복숭아
30,강릉,"배, 홍삼"
31,강릉,단감
32,강릉,복숭아
33,제주,귤
34,제주,귤
35,제주,수박
36,제주,귤
37,대구,"사과, 인삼"
38,대구,사과
39,대구,인삼
40,대구,"인삼, 포도"
41,제주,"귤, 포도, 사과"
42,제주,"수박, 복숭아, 홍삼"
43,강릉,단감
44,강릉,배
45,강릉,"배, 인삼"
46,강릉,복숭아
47,대구,"포도, 인삼"
48,대구,인삼
49,강릉,"귤, 복숭아"
50,강릉,"복숭아, 홍삼"
